Ilan_Tarihi,Marka,Arac_Tip_Grubu,Arac_Tip,Model_Yil,Yakit_Turu,Vites,CCM,Beygir_Gucu,Renk,Kasa_Tipi,Kimden,Durum,Km,Fiyat,Arac_Yasi,Km_Yil
18/04/2020,Alfa Romeo,Diğer,Diğer,2013,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 3 Kapı,Galeriden,2. El,99000,105900,7,14142.857142857143
18/04/2020,Alfa Romeo,159,1.9 JTD Distinctive Plus,2007,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Kahverengi ,Sedan,Galeriden,2. El,229000,77500,13,17615.384615384617
18/04/2020,Alfa Romeo,156,1.6 TS,1998,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Sedan,Galeriden,2. El,262000,32000,22,11909.09090909091
18/04/2020,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2016,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,80000,166500,4,20000.0
17/04/2020,Alfa Romeo,147,1.9 JTD Q2,2008,Dizel,Düz Vites,1801-2000 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,244000,83000,12,20333.333333333332
17/04/2020,Alfa Romeo,Giulietta,Diğer,2013,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,85000,127500,7,12142.857142857143
17/04/2020,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,222000,69000,8,27750.0
02/04/2020,Alfa Romeo,147,1.6 TS Distinctive,2004,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,236500,38500,16,14781.25
24/03/2020,Alfa Romeo,145,1.6 L,2015,Benzin,Otomatik Vites,1301-1600 cc,151-175 BG,Siyah ,Diğer,Yetkili,0 km,104860,343250,5,20972.0
09/04/2020,Audi,Q7,3.0 TDI Quattro,2006,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750,14,19618.14285714286
29/05/2020,Audi,A4,2.0 TDI Quattro,2014,Dizel,Otomatik Vites,Bilmiyorum,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,283000,225000,6,47166.666666666664
16/06/2020,Audi,A6,2.0 TDI,2008,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,336000,117500,12,28000.0
16/06/2020,Audi,A4,2.0 TDI,2009,Dizel,Yarı Otomatik Vites,2001-2500 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,298000,119900,11,27090.909090909092
15/06/2020,Audi,A4,A4 Sedan 2.0 TDI,2012,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,164000,177500,8,20500.0
15/06/2020,Audi,A4,2.0 TDI,2009,Dizel,Yarı Otomatik Vites,Bilmiyorum,126-150 BG,Füme ,Sedan,Sahibinden,2. El,302000,117500,11,27454.545454545456
15/06/2020,Audi,A3,1.6 TDI Ambition,2016,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,43500,248000,4,10875.0
15/06/2020,Audi,Q7,3.0 TDI Quattro,2006,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Siyah ,Arazi Aracı,Galeriden,2. El,230000,155000,14,16428.571428571428
15/06/2020,Audi,A4,2.0 TDI,2015,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Sahibinden,2. El,85000,262000,5,17000.0
14/06/2020,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2008,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Füme ,Hatchback 5 Kapı,Galeriden,2. El,201500,83900,12,16791.666666666668
13/06/2020,Audi,A3,A3 Sportback 1.6 Attraction,2011,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,146000,115000,9,16222.222222222223
12/06/2020,Audi,A3,"1.6 TDI Ambition Sportback
",2012,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,114000,145000,8,14250.0
12/06/2020,Audi,A4,1.6,2008,Benzin/LPG,Düz Vites,1601-1800 cc,Bilmiyorum,Siyah ,Sedan,Sahibinden,2. El,220042,110000,12,18336.833333333332
12/06/2020,Audi,A4,A4 Sedan 3.0,2003,Benzin,Yarı Otomatik Vites,2501-3000 cc,201-225 BG,Bej ,Sedan,Galeriden,2. El,239000,79900,17,14058.823529411764
12/06/2020,Audi,A5,A5 Coupe 1.8 TFSI,2010,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Gümüş Gri ,Spor / Coupe,Galeriden,2. El,105000,159900,10,10500.0
11/06/2020,Audi,A5,1.8 TFSI Coupe,2011,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Beyaz ,Spor / Coupe,Sahibinden,2. El,94000,175000,9,10444.444444444445
10/06/2020,Audi,A3,"1.6 TDI Attraction Sportback
",2012,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,147500,147500,8,18437.5
10/06/2020,Audi,Q5,2.0 TDI Quattro Sport,2017,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Mavi ,Arazi Aracı,Galeriden,2. El,47800,669900,3,15933.333333333334
10/06/2020,Audi,A4,2.0 TDI,2016,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,80000,274900,4,20000.0
27/05/2020,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,199500,6,30333.333333333332
10/06/2020,Audi,Q7,3.0 TDI Quattro,2016,Dizel,Otomatik Vites,2501-3000 cc,251-275 BG,Siyah ,Arazi Aracı,Galeriden,2. El,138000,820000,4,34500.0
10/06/2020,Audi,A3,1.6 Attraction Sportback,2012,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,135000,83900,8,16875.0
09/06/2020,Audi,A6,2.0 TDI,2011,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Gri ,Sedan,Galeriden,2. El,141000,232000,9,15666.666666666666
08/06/2020,Audi,A6,2.0 TDI,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,174000,308750,6,29000.0
07/06/2020,Audi,A4,2.0 TDI,2013,Dizel,Otomatik Vites,Bilmiyorum,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,315000,175000,7,45000.0
07/06/2020,Audi,A3,1.8 Ambiente,2000,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,230000,44000,20,11500.0
06/06/2020,Audi,A6,A6 Sedan 2.0 TDI,2016,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,83000,425000,4,20750.0
05/06/2020,Audi,A4,A4 Sedan 2.0 TDI,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,88000,193900,6,14666.666666666666
05/06/2020,Audi,A3,1.6 TDI Sedan,2016,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,8000,255000,4,2000.0
03/06/2020,Audi,A5,2.7 TDI,2009,Dizel,Yarı Otomatik Vites,2501-3000 cc,176-200 BG,Siyah ,Spor / Coupe,Galeriden,2. El,126000,162500,11,11454.545454545454
01/06/2020,Audi,Q2,1.6 TDI Design,2020,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Arazi Aracı,Galeriden,0 km,0,320000,0,0.0
